Identifier,Title,Creator,Date,Extent,Type,Rights,Description,
01-Mani-cure,Mani-cure,Alessandro Schiattarella,2015,2 min 30 sec,MovingImage,Ewing Gallery,A video displaying the artist's difficulty using a nail clipper due to his neurodegenerative disease,
02-School,School (Fool Series),Matt Bodett,2025,"19"" x 25"" unframed",Image,Ewing Gallery,"An image of a figure holding an object with ""school"" written in the top right corner",
03-Cool,Cool (Fool Series),Matt Bodett,2025,"19"" x 25"" unframed",Image,Ewing Gallery,"An image of a horned figure covering their face with ""look"" and ""away"" written with arrows and ""cool"" repeated three times",
04-Slugs,Slugs (Memories Series),Matt Bodett,2025,36x24 inches,Image,Ewing Gallery,"An image of crossed arms with sun doodles and the word ""SLUGS"" written in rainbow color and the letters ""NHJVKL"" written in stencil style",
05-Favorite,Favorite (Memories Series),Matt Bodett,2025,36x24 inches,Image,Ewing Gallery,"An image with a hand, lace detail, piece of an oil painting containing someone sticking a finger in another's chest wound, with the words ""My Memories"" and ""Sound"" and ""'Favorite'""",
35-Rosie-1,Rosie1,David Johnson,2013,"20""x24"", audio file",Image/Sound,Ewing Gallery,A screenreader repeating the number 0 with a visualization on Microsoft Word,
,Citrus Corners,David Johnson,2012,"24""x24"" plexi, various sizes",PhysicalObject,Ewing Gallery,Eight orange or yellow tipped free-form black pyramids,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
